"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Jeremy Doku","MCI","F","sean","Reserve","Active","Sun Sep 17, 2023, 12:45PM","6"
"Cole Palmer","MCI/CHE","M","vu","Active","Reserve","Sun Sep 17, 2023, 10:22AM","6"
"Billy Gilmour","BHA","M","vu","Reserve","Active","Sun Sep 17, 2023, 10:22AM","6"
"Joao Pedro","BHA","F","vu","Reserve","Active","Sun Sep 17, 2023, 10:20AM","6"
"Christian Eriksen","MUN","M","vu","Active","Reserve","Sun Sep 17, 2023, 10:20AM","6"
"Mason Mount","MUN","M","vu","Reserve","Active","Sun Sep 17, 2023, 10:19AM","6"
"Ivan Toney","BRF","F","vu","Active","Reserve","Sun Sep 17, 2023, 10:19AM","6"
"Ben White","ARS","D","vu","Active","Reserve","Sun Sep 17, 2023, 10:18AM","6"
"Christopher Nkunku","CHE","F","vu","Reserve","Active","Sun Sep 17, 2023, 10:18AM","6"
"Rico Henry","BRF","D","vu","Reserve","Inj Res","Sun Sep 17, 2023, 10:17AM","6"
"Mason Mount","MUN","M","vu","Inj Res","Reserve","Sun Sep 17, 2023, 10:17AM","6"
"Harvey Barnes","NEW","M","vu","Active","Reserve","Sun Sep 17, 2023, 10:17AM","6"
"Ivan Toney","BRF","F","vu","Reserve","Active","Sun Sep 17, 2023, 10:17AM","6"
"Rico Henry","BRF","D","vu","Active","Reserve","Sun Sep 17, 2023, 10:16AM","6"
"Ben Chilwell","CHE","D","vu","Reserve","Active","Sun Sep 17, 2023, 10:16AM","6"
"Eddie Nketiah","ARS","F","ben","Reserve","Active","Sun Sep 17, 2023, 7:38AM","5"
"Gabriel Jesus","ARS","F","ben","Active","Reserve","Sun Sep 17, 2023, 7:38AM","5"
"Ben Chilwell","CHE","D","vu","Active","Reserve","Sun Sep 17, 2023, 5:38AM","5"
"Ben White","ARS","D","vu","Reserve","Active","Sun Sep 17, 2023, 5:38AM","5"
"Reece James","CHE","D","tj","Reserve","Active","Sat Sep 16, 2023, 12:02PM","5"
"Dominic Solanke","BOU","F","tj","Active","Reserve","Sat Sep 16, 2023, 12:02PM","5"
"Rico Henry","BRF","D","vu","Reserve","Active","Sat Sep 16, 2023, 9:00AM","5"
"Christopher Nkunku","CHE","F","vu","Active","Reserve","Sat Sep 16, 2023, 9:00AM","5"
"Harvey Barnes","NEW","M","vu","Reserve","Active","Sat Sep 16, 2023, 9:00AM","5"
"Ivan Toney","BRF","F","vu","Active","Reserve","Sat Sep 16, 2023, 9:00AM","5"
"Leandro Trossard","ARS","M","katabe","Reserve","Active","Sat Sep 16, 2023, 8:48AM","5"
"Sandro Tonali","NEW","M","katabe","Active","Reserve","Sat Sep 16, 2023, 8:48AM","5"
"Dwight McNeil","EVE","M","tj","Reserve","Active","Sat Sep 16, 2023, 8:45AM","5"
"Kevin Schade","BRF","M","tj","Active","Reserve","Sat Sep 16, 2023, 8:45AM","5"
"Jeremy Doku","MCI","F","sean","Active","Reserve","Sat Sep 16, 2023, 8:31AM","6"
"Cristian Romero","TOT","D","sean","Reserve","Active","Sat Sep 16, 2023, 8:31AM","6"
"Kyle Walker","MCI","D","sean","Active","Reserve","Sat Sep 16, 2023, 8:31AM","6"
"Diogo Jota","LIV","F","sean","Reserve","Active","Sat Sep 16, 2023, 8:31AM","6"
"Scott McKenna","NOT","D","sean","Active","Reserve","Sat Sep 16, 2023, 8:30AM","6"
"Cristian Romero","TOT","D","sean","Active","Reserve","Sat Sep 16, 2023, 8:30AM","6"
"Abdoulaye Doucoure","EVE","M","sean","Reserve","Active","Sat Sep 16, 2023, 8:30AM","6"
"Jeremy Doku","MCI","F","sean","Reserve","Active","Sat Sep 16, 2023, 8:30AM","6"
"Diogo Jota","LIV","F","sean","Active","Reserve","Sat Sep 16, 2023, 8:30AM","6"
"Kyle Walker","MCI","D","sean","Reserve","Active","Sat Sep 16, 2023, 8:30AM","6"
"Pervis Estupinan","BHA","D","aj","Active","Reserve","Sat Sep 16, 2023, 6:47AM","5"
"Lewis Dunk","BHA","D","aj","Reserve","Active","Sat Sep 16, 2023, 6:47AM","5"
"Said Benrahma","WHU","M","ben","Reserve","Active","Sat Sep 16, 2023, 6:38AM","5"
"Nathan Ake","MCI","D","ben","Active","Reserve","Sat Sep 16, 2023, 6:38AM","5"
"Michail Antonio","WHU","F","vu","Reserve","Active","Sat Sep 16, 2023, 6:36AM","5"
"Joao Pedro","BHA","F","vu","Active","Reserve","Sat Sep 16, 2023, 6:36AM","5"
"Serge Aurier","NOT","D","mg","Active","Reserve","Sat Sep 16, 2023, 6:35AM","5"
"Cheick Doucoure","CRY","M","mg","Reserve","Active","Sat Sep 16, 2023, 6:35AM","5"
"Serge Aurier","NOT","D","mg","Reserve","Active","Sat Sep 16, 2023, 6:34AM","5"
"Aaron Wan-Bissaka","MUN","D","mg","Active","Reserve","Sat Sep 16, 2023, 6:34AM","5"
"Rasmus Hojlund","MUN","F","tj","Reserve","Active","Sat Sep 16, 2023, 6:32AM","5"
"Dwight McNeil","EVE","M","tj","Active","Reserve","Sat Sep 16, 2023, 6:32AM","5"
"Antonee Robinson","FUL","D","aj","Active","Reserve","Sat Sep 16, 2023, 6:11AM","5"
"Jordan Ayew","CRY","F","aj","Reserve","Active","Sat Sep 16, 2023, 6:11AM","5"
"Josko Gvardiol","MCI","D","md","Reserve","Active","Sat Sep 16, 2023, 6:06AM","5"
"Solly March","BHA","M","md","Active","Reserve","Sat Sep 16, 2023, 6:06AM","5"
"Evan Ferguson","BHA","F","aj","Active","Reserve","Sat Sep 16, 2023, 6:03AM","5"
"Kenny Tete","FUL","D","aj","Reserve","Active","Sat Sep 16, 2023, 6:03AM","5"
"Antonee Robinson","FUL","D","aj","Reserve","Active","Sat Sep 16, 2023, 6:03AM","5"
"Lewis Dunk","BHA","D","aj","Active","Reserve","Sat Sep 16, 2023, 6:03AM","5"
"Ibrahima Konate","LIV","D","mg","Reserve","Active","Sat Sep 16, 2023, 1:36AM","5"
"Nathan Collins","BRF","D","mg","Active","Reserve","Sat Sep 16, 2023, 1:36AM","5"
"Mateo Kovacic","MCI","M","katabe","Active","Reserve","Fri Sep 15, 2023, 11:21PM","5"
"Cody Gakpo","LIV","F","ben","Reserve","Active","Fri Sep 15, 2023, 11:18PM","5"
"Richarlison","TOT","F","ben","Active","Reserve","Fri Sep 15, 2023, 11:18PM","5"
"Taiwo Awoniyi","NOT","F","sean","Active","Reserve","Fri Sep 15, 2023, 8:28PM","5"
"Diogo Jota","LIV","F","sean","Reserve","Active","Fri Sep 15, 2023, 8:28PM","5"
"Ibrahima Konate","LIV","D","mg","Active","Reserve","Fri Sep 15, 2023, 8:01PM","5"
"Nathan Collins","BRF","D","mg","Reserve","Active","Fri Sep 15, 2023, 8:01PM","5"
"Bruno Guimaraes","NEW","M","md","Reserve","Active","Fri Sep 15, 2023, 7:35PM","5"
"Darwin Nunez","LIV","F","md","Active","Reserve","Fri Sep 15, 2023, 7:32PM","5"
"Jack Grealish","MCI","M","rafa","Active","Reserve","Fri Sep 15, 2023, 6:18PM","5"
"Bernardo Silva","MCI","M","rafa","Reserve","Active","Fri Sep 15, 2023, 6:18PM","5"
"John McGinn","AVL","M","mg","Reserve","Active","Fri Sep 15, 2023, 1:30PM","5"
"Nathan Collins","BRF","D","mg","Active","Reserve","Fri Sep 15, 2023, 1:30PM","5"
"Nathan Collins","BRF","D","mg","Reserve","Active","Fri Sep 15, 2023, 11:40AM","5"
"Serge Aurier","NOT","D","mg","Active","Reserve","Fri Sep 15, 2023, 11:40AM","5"
"Odsonne Edouard","CRY","F","tj","Active","Reserve","Fri Sep 15, 2023, 9:38AM","5"
"Reece James","CHE","D","tj","Inj Res","Reserve","Fri Sep 15, 2023, 9:38AM","5"
"Dwight McNeil","EVE","M","tj","Reserve","Active","Fri Sep 15, 2023, 9:38AM","5"
"Michael Olise","CRY","M","tj","Reserve","Inj Res","Fri Sep 15, 2023, 9:38AM","5"
"Jefferson Lerma","CRY","M","sean","Active","Inj Res","Fri Sep 15, 2023, 9:00AM","5"
"Matheus Nunes","WOL/MCI","M","sean","Inj Res","Active","Fri Sep 15, 2023, 9:00AM","5"
"Ben White","ARS","D","vu","Active","Reserve","Fri Sep 15, 2023, 8:20AM","5"
"Christian Norgaard","BRF","M","vu","Reserve","Active","Fri Sep 15, 2023, 8:20AM","5"
"Carlton Morris","LUT","F","md","Reserve","Active","Wed Sep 13, 2023, 5:57AM","5"
"Josko Gvardiol","MCI","D","md","Active","Reserve","Wed Sep 13, 2023, 5:57AM","5"
"Tim Ream","FUL","D","sean","Reserve","Active","Sat Sep 9, 2023, 9:34AM","5"
"Tyrick Mitchell","CRY","D","sean","Active","Reserve","Sat Sep 9, 2023, 9:34AM","5"
"Scott McKenna","NOT","D","sean","Reserve","Active","Sat Sep 9, 2023, 9:34AM","5"
"Kyle Walker","MCI","D","sean","Active","Reserve","Sat Sep 9, 2023, 9:34AM","5"
"Raphael Varane","MUN","D","md","Reserve","Inj Res","Sat Sep 9, 2023, 8:44AM","5"
"James Tarkowski","EVE","D","zach","Active","Reserve","Sat Sep 9, 2023, 7:58AM","5"
"Pau Torres","AVL","D","zach","Reserve","Active","Sat Sep 9, 2023, 7:58AM","5"
"Dan Burn","NEW","D","md","Active","Reserve","Fri Sep 8, 2023, 5:19PM","5"
"Emerson","WHU","D","md","Reserve","Active","Fri Sep 8, 2023, 5:19PM","5"
"Virgil van Dijk","LIV","D","mg","Active","Reserve","Fri Sep 8, 2023, 3:49PM","5"
"Serge Aurier","NOT","D","mg","Reserve","Active","Fri Sep 8, 2023, 3:49PM","5"
"Ben White","ARS","D","vu","Reserve","Active","Fri Sep 8, 2023, 10:31AM","5"
"Rico Henry","BRF","D","vu","Active","Reserve","Fri Sep 8, 2023, 10:31AM","5"
"Michail Antonio","WHU","F","vu","Active","Reserve","Fri Sep 8, 2023, 7:04AM","5"
"Joao Pedro","BHA","F","vu","Reserve","Active","Fri Sep 8, 2023, 7:04AM","5"
"Beto","EVE","F","ben","Active","Reserve","Thu Sep 7, 2023, 4:26PM","5"
"Richarlison","TOT","F","ben","Reserve","Active","Thu Sep 7, 2023, 4:26PM","5"
"Gabriel Jesus","ARS","F","ben","Reserve","Active","Thu Sep 7, 2023, 4:26PM","5"
"Eddie Nketiah","ARS","F","ben","Active","Reserve","Thu Sep 7, 2023, 4:26PM","5"
"Ryan Gravenberch","LIV","M","mg","Active","Reserve","Wed Sep 6, 2023, 6:51AM","5"
"Ibrahima Konate","LIV","D","mg","Reserve","Active","Wed Sep 6, 2023, 6:51AM","5"
"Aaron Ramsdale","ARS","G","katabe","Active","Reserve","Wed Sep 6, 2023, 3:10AM","5"
"Anthony Elanga","NOT","F","katabe","Reserve","Active","Wed Sep 6, 2023, 3:09AM","5"
"John McGinn","AVL","M","mg","Active","Reserve","Tue Sep 5, 2023, 8:18PM","5"
"Virgil van Dijk","LIV","D","mg","Reserve","Active","Tue Sep 5, 2023, 8:18PM","5"
"Eberechi Eze","CRY","M","mg","Reserve","Active","Tue Sep 5, 2023, 8:18PM","5"
"Ibrahima Konate","LIV","D","mg","Active","Reserve","Tue Sep 5, 2023, 8:18PM","5"
"Kenny Tete","FUL","D","aj","Active","Reserve","Tue Sep 5, 2023, 1:56PM","5"
"Lewis Dunk","BHA","D","aj","Reserve","Active","Tue Sep 5, 2023, 1:56PM","5"
"Evan Ferguson","BHA","F","aj","Reserve","Active","Tue Sep 5, 2023, 1:56PM","5"
"Antonee Robinson","FUL","D","aj","Active","Reserve","Tue Sep 5, 2023, 1:56PM","5"
"Diogo Jota","LIV","F","sean","Active","Reserve","Tue Sep 5, 2023, 1:21PM","5"
"Taiwo Awoniyi","NOT","F","sean","Reserve","Active","Tue Sep 5, 2023, 1:21PM","5"
"Christian Norgaard","BRF","M","vu","Active","Reserve","Tue Sep 5, 2023, 8:03AM","5"
"Christian Eriksen","MUN","M","vu","Reserve","Active","Tue Sep 5, 2023, 8:03AM","5"
"Ben White","ARS","D","vu","Active","Reserve","Tue Sep 5, 2023, 7:42AM","5"
"Rico Henry","BRF","D","vu","Reserve","Active","Tue Sep 5, 2023, 7:42AM","5"
"Christian Eriksen","MUN","M","vu","Active","Reserve","Tue Sep 5, 2023, 7:22AM","5"
"Ivan Toney","BRF","F","vu","Reserve","Active","Tue Sep 5, 2023, 7:22AM","5"
"Kenny Tete","FUL","D","aj","Reserve","Active","Tue Sep 5, 2023, 7:16AM","5"
"Evan Ferguson","BHA","F","aj","Active","Reserve","Tue Sep 5, 2023, 7:16AM","5"
"Jordan Ayew","CRY","F","aj","Active","Reserve","Tue Sep 5, 2023, 7:16AM","5"
"Andreas Pereira","FUL","M","aj","Reserve","Active","Tue Sep 5, 2023, 7:16AM","5"
"Antonee Robinson","FUL","D","aj","Reserve","Active","Tue Sep 5, 2023, 7:16AM","5"
"Lewis Dunk","BHA","D","aj","Active","Reserve","Tue Sep 5, 2023, 7:16AM","5"
"Ollie Watkins","AVL","F","mg","Reserve","Active","Tue Sep 5, 2023, 7:13AM","5"
"Eberechi Eze","CRY","M","mg","Active","Reserve","Tue Sep 5, 2023, 7:13AM","5"
"Cheick Doucoure","CRY","M","mg","Active","Reserve","Tue Sep 5, 2023, 7:13AM","5"
"John McGinn","AVL","M","mg","Reserve","Active","Tue Sep 5, 2023, 7:13AM","5"
"Ryan Gravenberch","LIV","M","mg","Reserve","Active","Tue Sep 5, 2023, 7:09AM","5"
"Ibrahima Konate","LIV","D","mg","Reserve","Active","Tue Sep 5, 2023, 7:09AM","5"
"John McGinn","AVL","M","mg","Active","Reserve","Tue Sep 5, 2023, 7:09AM","5"
"Boubacar Kamara","AVL","M","mg","Active","Reserve","Tue Sep 5, 2023, 7:09AM","5"
"Ansu Fati","BHA","F","mg","Inj Res","Active","Tue Sep 5, 2023, 7:09AM","5"
"Manor Solomon","TOT","F","mg","Reserve","Active","Tue Sep 5, 2023, 7:09AM","5"
"Ollie Watkins","AVL","F","mg","Active","Reserve","Tue Sep 5, 2023, 7:09AM","5"
"Nathan Collins","BRF","D","mg","Active","Reserve","Tue Sep 5, 2023, 7:09AM","5"
"Rico Henry","BRF","D","vu","Active","Reserve","Mon Sep 4, 2023, 8:55AM","5"
"Ben White","ARS","D","vu","Reserve","Active","Mon Sep 4, 2023, 8:55AM","5"
"Sven Botman","NEW","D","katabe","Reserve","Inj Res","Sun Sep 3, 2023, 9:19PM","5"
"Anthony Gordon","NEW","M","rafa","Active","Reserve","Sun Sep 3, 2023, 8:41PM","5"
"Kai Havertz","ARS","F","rafa","Reserve","Active","Sun Sep 3, 2023, 8:41PM","5"
"Casemiro","MUN","M","rafa","Reserve","Active","Sun Sep 3, 2023, 8:35PM","5"
"Kai Havertz","ARS","F","rafa","Active","Reserve","Sun Sep 3, 2023, 8:35PM","5"
"Marc Guehi","CRY","D","rafa","Active","Reserve","Sun Sep 3, 2023, 8:03PM","5"
"Gabriel Magalhaes","ARS","D","rafa","Reserve","Active","Sun Sep 3, 2023, 8:03PM","5"
"Jack Grealish","MCI","M","rafa","Reserve","Active","Sun Sep 3, 2023, 8:02PM","5"
"Casemiro","MUN","M","rafa","Active","Reserve","Sun Sep 3, 2023, 8:02PM","5"
"Miguel Almiron","NEW","M","vu","Active","Reserve","Sun Sep 3, 2023, 6:17PM","5"
"Christopher Nkunku","CHE","F","vu","Reserve","Active","Sun Sep 3, 2023, 6:17PM","5"
"Mason Mount","MUN","M","vu","Reserve","Inj Res","Sun Sep 3, 2023, 6:17PM","5"
"Christopher Nkunku","CHE","F","vu","Inj Res","Reserve","Sun Sep 3, 2023, 6:17PM","5"
"Raul Jimenez","FUL","F","vu","Reserve","Active","Sun Sep 3, 2023, 6:09PM","5"
"Matheus Cunha","WOL","F","vu","Active","Reserve","Sun Sep 3, 2023, 6:09PM","5"
"Moises Caicedo","BHA/CHE","M","mg","Active","Reserve","Sun Sep 3, 2023, 11:40AM","5"
"John McGinn","AVL","M","mg","Reserve","Active","Sun Sep 3, 2023, 11:40AM","5"
"Michail Antonio","WHU","F","mg","Active","Reserve","Sun Sep 3, 2023, 11:40AM","5"
"Joao Pedro","BHA","F","mg","Active","Reserve","Sun Sep 3, 2023, 11:40AM","5"
"Cheick Doucoure","CRY","M","mg","Reserve","Active","Sun Sep 3, 2023, 11:40AM","5"
"Boubacar Kamara","AVL","M","mg","Reserve","Active","Sun Sep 3, 2023, 11:40AM","5"
"Alex Iwobi","EVE/FUL","M","mg","Inj Res","Reserve","Sun Sep 3, 2023, 11:40AM","5"
"Luke Shaw","MUN","D","mg","Reserve","Inj Res","Sun Sep 3, 2023, 11:40AM","5"
"Cole Palmer","MCI/CHE","M","vu","Reserve","Active","Sun Sep 3, 2023, 9:22AM","5"
"Conor Gallagher","CHE","M","vu","Active","Reserve","Sun Sep 3, 2023, 9:22AM","5"
"Eddie Nketiah","ARS","F","ben","Reserve","Active","Sun Sep 3, 2023, 7:43AM","4"
"Gabriel Jesus","ARS","F","ben","Active","Reserve","Sun Sep 3, 2023, 7:43AM","4"
"Andrew Robertson","LIV","D","sean","Active","Reserve","Sun Sep 3, 2023, 5:35AM","4"
"Jefferson Lerma","CRY","M","sean","Reserve","Active","Sun Sep 3, 2023, 5:35AM","4"
"Jeffrey Schlupp","CRY","M","ben","Reserve","Active","Sun Sep 3, 2023, 12:42AM","4"
"Thomas Partey","ARS","M","ben","Active","Reserve","Sun Sep 3, 2023, 12:42AM","4"
"Said Benrahma","WHU","M","sean","Active","Reserve","Sat Sep 2, 2023, 1:12PM","5"
"Enzo Fernandez","CHE","M","sean","Reserve","Active","Sat Sep 2, 2023, 1:12PM","5"
"Emerson","WHU","D","sean","Active","Reserve","Sat Sep 2, 2023, 1:12PM","5"
"Taiwo Awoniyi","NOT","F","sean","Active","Reserve","Sat Sep 2, 2023, 1:12PM","5"
"Jefferson Lerma","CRY","M","sean","Reserve","Active","Sat Sep 2, 2023, 1:12PM","5"
"Diogo Jota","LIV","F","sean","Reserve","Active","Sat Sep 2, 2023, 1:12PM","5"
"Christian Eriksen","MUN","M","vu","Reserve","Active","Sat Sep 2, 2023, 1:11PM","4"
"Mason Mount","MUN","M","vu","Active","Reserve","Sat Sep 2, 2023, 1:11PM","4"
"Cheick Doucoure","CRY","M","mg","Active","Reserve","Sat Sep 2, 2023, 9:31AM","4"
"Ollie Watkins","AVL","F","mg","Reserve","Active","Sat Sep 2, 2023, 9:31AM","4"
"Joao Pedro","BHA","F","mg","Reserve","Active","Sat Sep 2, 2023, 8:46AM","4"
"Ollie Watkins","AVL","F","mg","Active","Reserve","Sat Sep 2, 2023, 8:46AM","4"
"Jack Grealish","MCI","M","rafa","Active","Reserve","Sat Sep 2, 2023, 6:10AM","4"
"Casemiro","MUN","M","rafa","Reserve","Active","Sat Sep 2, 2023, 6:10AM","4"
"Nayef Aguerd","WHU","D","tj","Reserve","Active","Fri Sep 1, 2023, 11:01AM","4"
"Mohammed Kudus","WHU","M","tj","Active","Reserve","Fri Sep 1, 2023, 11:01AM","4"
"Richarlison","TOT","F","ben","Active","Reserve","Fri Sep 1, 2023, 8:11AM","4"
"Beto","EVE","F","ben","Reserve","Active","Fri Sep 1, 2023, 8:11AM","4"
"Thomas Partey","ARS","M","ben","Reserve","Active","Fri Sep 1, 2023, 8:09AM","4"
"Alejandro Garnacho","MUN","M","ben","Active","Reserve","Fri Sep 1, 2023, 8:09AM","4"
"Reece James","CHE","D","tj","Reserve","Inj Res","Thu Aug 31, 2023, 10:31PM","4"
"Dwight McNeil","EVE","M","tj","Inj Res","Reserve","Thu Aug 31, 2023, 10:31PM","4"
"Jefferson Lerma","CRY","M","sean","Active","Reserve","Thu Aug 31, 2023, 8:59PM","4"
"Taiwo Awoniyi","NOT","F","sean","Reserve","Active","Thu Aug 31, 2023, 8:59PM","4"
"Tyrick Mitchell","CRY","D","sean","Reserve","Active","Thu Aug 31, 2023, 8:48PM","4"
"Diogo Jota","LIV","F","sean","Active","Reserve","Thu Aug 31, 2023, 8:48PM","4"
"Kenny Tete","FUL","D","aj","Active","Reserve","Thu Aug 31, 2023, 3:53PM","4"
"Lewis Dunk","BHA","D","aj","Reserve","Active","Thu Aug 31, 2023, 3:53PM","4"
"Boubacar Kamara","AVL","M","mg","Active","Reserve","Wed Aug 30, 2023, 6:50PM","4"
"Moises Caicedo","BHA/CHE","M","mg","Reserve","Active","Wed Aug 30, 2023, 6:50PM","4"
"Casemiro","MUN","M","rafa","Active","Reserve","Tue Aug 29, 2023, 7:17PM","4"
"Anthony Gordon","NEW","M","rafa","Reserve","Active","Tue Aug 29, 2023, 7:17PM","4"
"Douglas Luiz","AVL","M","aj","Active","Reserve","Tue Aug 29, 2023, 7:05PM","4"
"Pape Sarr","TOT","M","aj","Reserve","Active","Tue Aug 29, 2023, 7:05PM","4"
"Darwin Nunez","LIV","F","md","Reserve","Active","Tue Aug 29, 2023, 6:29PM","4"
"Antony","MUN","F","md","Active","Reserve","Tue Aug 29, 2023, 6:29PM","4"
"Sandro Tonali","NEW","M","katabe","Reserve","Active","Tue Aug 29, 2023, 8:26AM","4"
"Tomas Soucek","WHU","M","katabe","Active","Reserve","Tue Aug 29, 2023, 8:26AM","4"
"Sven Botman","NEW","D","katabe","Active","Reserve","Tue Aug 29, 2023, 8:20AM","4"
"Vladimir Coufal","WHU","D","katabe","Reserve","Active","Tue Aug 29, 2023, 8:20AM","4"
"Matt Turner","NOT","G","katabe","Active","Reserve","Tue Aug 29, 2023, 8:15AM","4"
"Dwight McNeil","EVE","M","tj","Reserve","Inj Res","Tue Aug 29, 2023, 8:14AM","4"
"Michael Olise","CRY","M","tj","Inj Res","Reserve","Tue Aug 29, 2023, 8:14AM","4"
"Arnaut Danjuma Groeneveld","EVE","F","katabe","Reserve","Active","Tue Aug 29, 2023, 8:12AM","4"
"Leandro Trossard","ARS","M","katabe","Active","Reserve","Tue Aug 29, 2023, 8:12AM","4"
"Tomas Soucek","WHU","M","katabe","Reserve","Active","Tue Aug 29, 2023, 8:12AM","4"
"Sven Botman","NEW","D","katabe","Reserve","Active","Tue Aug 29, 2023, 8:11AM","4"
"Kurt Zouma","WHU","D","vu","Active","Reserve","Tue Aug 29, 2023, 7:48AM","4"
"Tyrell Malacia","MUN","D","vu","Reserve","Active","Tue Aug 29, 2023, 7:48AM","4"
"Diogo Jota","LIV","F","sean","Reserve","Active","Tue Aug 29, 2023, 7:43AM","4"
"Enzo Fernandez","CHE","M","sean","Active","Reserve","Tue Aug 29, 2023, 7:43AM","4"
"Matheus Nunes","WOL/MCI","M","sean","Reserve","Inj Res","Tue Aug 29, 2023, 7:34AM","4"
"Fabian Schar","NEW","D","sean","Inj Res","Reserve","Tue Aug 29, 2023, 7:34AM","4"
"Christian Norgaard","BRF","M","vu","Reserve","Active","Tue Aug 29, 2023, 7:33AM","4"
"Christian Eriksen","MUN","M","vu","Active","Reserve","Tue Aug 29, 2023, 7:33AM","4"
"Micky van de Ven","TOT","D","vu","Reserve","Active","Tue Aug 29, 2023, 7:14AM","4"
"Ben White","ARS","D","vu","Active","Reserve","Tue Aug 29, 2023, 7:14AM","4"
"Raphael Varane","MUN","D","md","Active","Reserve","Mon Aug 28, 2023, 8:05PM","4"
"Dan Burn","NEW","D","md","Reserve","Active","Mon Aug 28, 2023, 8:05PM","4"
"Leon Bailey","AVL","F","md","Active","Reserve","Mon Aug 28, 2023, 8:03PM","4"
"Antony","MUN","F","md","Reserve","Active","Mon Aug 28, 2023, 8:03PM","4"
"Mason Mount","MUN","M","vu","Reserve","Active","Sun Aug 27, 2023, 2:04PM","4"
"Antoine Semenyo","BOU","F","vu","Active","Reserve","Sun Aug 27, 2023, 2:04PM","4"
"Antoine Semenyo","BOU","F","vu","Reserve","Active","Sun Aug 27, 2023, 2:03PM","4"
"Harvey Barnes","NEW","M","vu","Active","Reserve","Sun Aug 27, 2023, 2:03PM","4"
"Thomas Partey","ARS","M","ben","Active","Reserve","Sun Aug 27, 2023, 12:18PM","4"
"Philip Billing","BOU","M","ben","Reserve","Active","Sun Aug 27, 2023, 12:18PM","4"
"Richarlison","TOT","F","ben","Reserve","Active","Sun Aug 27, 2023, 12:17PM","4"
"Cody Gakpo","LIV","F","ben","Active","Reserve","Sun Aug 27, 2023, 12:17PM","4"
"Gabriel Jesus","ARS","F","ben","Reserve","Active","Sun Aug 27, 2023, 12:17PM","4"
"Richarlison","TOT","F","ben","Active","Reserve","Sun Aug 27, 2023, 12:17PM","4"
"Kyle Walker","MCI","D","sean","Reserve","Active","Sun Aug 27, 2023, 11:29AM","4"
"Diogo Jota","LIV","F","sean","Active","Reserve","Sun Aug 27, 2023, 11:29AM","4"
"John McGinn","AVL","M","mg","Active","Reserve","Sun Aug 27, 2023, 9:41AM","4"
"Cheick Doucoure","CRY","M","mg","Reserve","Active","Sun Aug 27, 2023, 9:41AM","4"
"Virgil van Dijk","LIV","D","mg","Active","Reserve","Sun Aug 27, 2023, 9:40AM","4"
"Pedro Porro","TOT","D","mg","Reserve","Active","Sun Aug 27, 2023, 9:40AM","4"
"Kyle Walker","MCI","D","sean","Active","Reserve","Sat Aug 26, 2023, 11:46AM","4"
"Said Benrahma","WHU","M","sean","Reserve","Active","Sat Aug 26, 2023, 11:46AM","4"
"Adam Webster","BHA","D","sean","Active","Reserve","Sat Aug 26, 2023, 11:46AM","4"
"Emerson","WHU","D","sean","Reserve","Active","Sat Aug 26, 2023, 11:46AM","4"
"Joao Pedro","BHA","F","mg","Active","Reserve","Sat Aug 26, 2023, 9:07AM","3"
"Michail Antonio","WHU","F","mg","Reserve","Active","Sat Aug 26, 2023, 9:07AM","3"
"Leandro Trossard","ARS","M","katabe","Reserve","Active","Sat Aug 26, 2023, 6:58AM","3"
"Tomas Soucek","WHU","M","katabe","Active","Reserve","Sat Aug 26, 2023, 6:58AM","3"
"John Stones","MCI","D","ben","Reserve","Inj Res","Sat Aug 26, 2023, 6:39AM","3"
"Gabriel Jesus","ARS","F","ben","Inj Res","Reserve","Sat Aug 26, 2023, 6:39AM","3"
"Cody Gakpo","LIV","F","ben","Reserve","Active","Sat Aug 26, 2023, 6:33AM","3"
"Eddie Nketiah","ARS","F","ben","Active","Reserve","Sat Aug 26, 2023, 6:33AM","3"
"Christian Eriksen","MUN","M","vu","Reserve","Active","Sat Aug 26, 2023, 6:05AM","3"
"Mason Mount","MUN","M","vu","Active","Reserve","Sat Aug 26, 2023, 6:05AM","3"
"Sandro Tonali","NEW","M","katabe","Active","Reserve","Fri Aug 25, 2023, 10:28PM","3"
"Max Kilman","WOL","D","katabe","Reserve","Active","Fri Aug 25, 2023, 10:28PM","3"
"Sven Botman","NEW","D","katabe","Active","Reserve","Fri Aug 25, 2023, 10:27PM","3"
"Arnaut Danjuma Groeneveld","EVE","F","katabe","Active","Reserve","Fri Aug 25, 2023, 5:49PM","3"
"Sandro Tonali","NEW","M","katabe","Reserve","Active","Fri Aug 25, 2023, 5:49PM","3"
"Joelinton","NEW","M","ben","Reserve","Active","Fri Aug 25, 2023, 10:07AM","3"
"Philip Billing","BOU","M","ben","Active","Reserve","Fri Aug 25, 2023, 10:07AM","3"
"Philip Billing","BOU","M","ben","Reserve","Active","Fri Aug 25, 2023, 8:59AM","3"
"Nicolo Zaniolo","AVL","M","ben","Active","Reserve","Fri Aug 25, 2023, 8:59AM","3"
"Conor Gallagher","CHE","M","vu","Reserve","Active","Fri Aug 25, 2023, 8:01AM","3"
"Antoine Semenyo","BOU","F","vu","Active","Reserve","Fri Aug 25, 2023, 8:01AM","3"
"Thiago Alcântara","LIV","M","vu","Active","Reserve","Fri Aug 25, 2023, 7:50AM","3"
"Mason Mount","MUN","M","vu","Reserve","Active","Fri Aug 25, 2023, 7:50AM","3"
