"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Virgil van Dijk","LIV","D","mg","Inj Res","Reserve","Fri May 3, 2024, 9:15AM","36"
"James Ward-Prowse","SOU/WHU","M","md","Active","Reserve","Fri May 3, 2024, 8:07AM","36"
"Carlton Morris","LUT","F","md","Active","Reserve","Fri May 3, 2024, 8:04AM","36"
"James Ward-Prowse","SOU/WHU","M","md","Reserve","Active","Fri May 3, 2024, 8:03AM","36"
"Timo Werner","CHE/TOT","F","ben","Active","Reserve","Fri May 3, 2024, 7:39AM","36"
"Gabriel Jesus","ARS","F","ben","Reserve","Active","Fri May 3, 2024, 7:39AM","36"
"Pedro Neto","WOL","F","ben","Inj Res","Reserve","Fri May 3, 2024, 7:39AM","36"
"Marcus Rashford","MUN","F","ben","Reserve","Inj Res","Fri May 3, 2024, 7:39AM","36"
"Virgil van Dijk","LIV","D","mg","Reserve","Inj Res","Fri May 3, 2024, 7:30AM","36"
"Rayan Ait-Nouri","WOL","D","mg","Inj Res","Reserve","Fri May 3, 2024, 7:30AM","36"
"Marc Cucurella","CHE","D","vu","Active","Reserve","Fri May 3, 2024, 6:26AM","38"
"Marcos Senesi","BOU","D","vu","Reserve","Active","Fri May 3, 2024, 6:26AM","38"
"Valentino Livramento","NEW","D","vu","Active","Reserve","Fri May 3, 2024, 6:25AM","38"
"Ben White","ARS","D","vu","Reserve","Active","Fri May 3, 2024, 6:25AM","38"
"Ivan Toney","BRF","F","vu","Reserve","Active","Fri May 3, 2024, 6:25AM","38"
"Brennan Johnson","NOT/TOT","F","vu","Active","Reserve","Fri May 3, 2024, 6:25AM","38"
"Ederson","MCI","G","md","Active","Reserve","Fri May 3, 2024, 6:02AM","36"
"Neto","BOU","G","md","Reserve","Active","Fri May 3, 2024, 6:02AM","36"
"Joachim Andersen","CRY","D","md","Reserve","Active","Fri May 3, 2024, 5:16AM","36"
"Illia Zabarnyi","BOU","D","md","Active","Reserve","Fri May 3, 2024, 5:16AM","36"
"Joao Pedro","BHA","F","vu","Reserve","Active","Fri May 3, 2024, 3:46AM","36"
"Ivan Toney","BRF","F","vu","Active","Reserve","Fri May 3, 2024, 3:46AM","36"
"Marcos Senesi","BOU","D","vu","Active","Reserve","Fri May 3, 2024, 3:46AM","36"
"Valentin Barco","BHA","D","vu","Reserve","Active","Fri May 3, 2024, 3:46AM","36"
"Cody Gakpo","LIV","F","tj","Active","Reserve","Fri May 3, 2024, 12:24AM","36"
"Nathan Ake","MCI","D","tj","Reserve","Active","Fri May 3, 2024, 12:24AM","36"
"Harry Maguire","MUN","D","mg","Active","Reserve","Thu May 2, 2024, 9:57PM","36"
"Emil Krafth","NEW","D","mg","Reserve","Active","Thu May 2, 2024, 9:57PM","36"
"Emil Krafth","NEW","D","mg","Active","Reserve","Thu May 2, 2024, 9:56PM","36"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Reserve","Active","Thu May 2, 2024, 9:56PM","36"
"Emil Krafth","NEW","D","mg","Reserve","Active","Thu May 2, 2024, 9:54PM","36"
"Sergio Reguilon","TOT/MUN/BRF","D","mg","Active","Reserve","Thu May 2, 2024, 9:54PM","36"
"Nathan Ake","MCI","D","tj","Active","Reserve","Thu May 2, 2024, 9:36PM","36"
"Cody Gakpo","LIV","F","tj","Reserve","Active","Thu May 2, 2024, 9:36PM","36"
"Idrissa Gueye","EVE","M","mg","Reserve","Active","Thu May 2, 2024, 8:02PM","36"
"Emil Krafth","NEW","D","mg","Active","Reserve","Thu May 2, 2024, 8:02PM","36"
"Alex Iwobi","EVE/FUL","M","mg","Reserve","Active","Thu May 2, 2024, 7:59PM","36"
"Pedro Porro","TOT","D","mg","Active","Reserve","Thu May 2, 2024, 7:59PM","36"
"Boubacar Kamara","AVL","M","mg","Active","Reserve","Thu May 2, 2024, 3:26PM","35"
"Antoine Semenyo","BOU","F","mg","Reserve","Active","Thu May 2, 2024, 3:26PM","35"
"Ben Davies","TOT","D","mg","Reserve","Active","Thu May 2, 2024, 3:26PM","35"
"Eberechi Eze","CRY","M","mg","Active","Reserve","Thu May 2, 2024, 3:26PM","35"
"Romeo Lavia","SOU/CHE","M","vu","Active","Reserve","Thu May 2, 2024, 3:26PM","35"
"Jacob Murphy","NEW","M","vu","Reserve","Active","Thu May 2, 2024, 3:26PM","35"
"John McGinn","AVL","M","sean","Reserve","Active","Thu May 2, 2024, 3:26PM","35"
"Mohammed Kudus","WHU","M","tj","Reserve","Active","Thu May 2, 2024, 3:26PM","35"
"Taiwo Awoniyi","NOT","F","tj","Active","Reserve","Thu May 2, 2024, 3:26PM","35"
"Lewis Cook","BOU","M","ben","Reserve","Active","Thu May 2, 2024, 3:26PM","35"
"Destiny Udogie","TOT","D","ben","Active","Reserve","Thu May 2, 2024, 3:26PM","35"
"Gabriel Jesus","ARS","F","ben","Active","Reserve","Thu May 2, 2024, 3:26PM","35"
"Callum Wilson","NEW","F","ben","Reserve","Active","Thu May 2, 2024, 3:26PM","35"
"Marcos Senesi","BOU","D","vu","Active","Reserve","Thu May 2, 2024, 9:30AM","37"
"Brennan Johnson","NOT/TOT","F","vu","Reserve","Active","Thu May 2, 2024, 9:30AM","37"
"Jean-Philippe Mateta","CRY","F","vu","Active","Reserve","Thu May 2, 2024, 9:30AM","37"
"Valentin Barco","BHA","D","vu","Reserve","Active","Thu May 2, 2024, 9:30AM","37"
"Marc Cucurella","CHE","D","vu","Reserve","Active","Thu May 2, 2024, 9:30AM","37"
"Ben White","ARS","D","vu","Active","Reserve","Thu May 2, 2024, 9:30AM","37"
"Joao Pedro","BHA","F","vu","Reserve","Active","Thu May 2, 2024, 9:30AM","37"
"Ivan Toney","BRF","F","vu","Active","Reserve","Thu May 2, 2024, 9:30AM","37"
"Rayan Ait-Nouri","WOL","D","mg","Reserve","Inj Res","Wed May 1, 2024, 8:32PM","36"
"Reece James","CHE","D","mg","Inj Res","Reserve","Wed May 1, 2024, 8:32PM","36"
"Rayan Ait-Nouri","WOL","D","mg","Inj Res","Reserve","Wed May 1, 2024, 10:17AM","36"
"Reece James","CHE","D","mg","Reserve","Inj Res","Wed May 1, 2024, 10:17AM","36"
"Alejandro Garnacho","MUN","M","vu","Reserve","Active","Tue Apr 30, 2024, 11:56AM","36"
"Valentin Barco","BHA","D","vu","Active","Reserve","Tue Apr 30, 2024, 11:56AM","36"
"Alejandro Garnacho","MUN","M","vu","Active","Reserve","Tue Apr 30, 2024, 11:17AM","36"
