"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*05mxa*","D","Joel Veltman","BHA","D","-","MUN 2<br/>@BHA 0 F","15","15","1","39","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"*05a6e*","D","Neco Williams","NOT","D","-","NOT 2<br/>@BUR 1 F","10.5","10.5","1","90","0","0","0","0","0","0","0","0","0","1","6","3","0","2","0","0","0","1","0"
"*04abn*","M","Harvey Barnes","NEW","M","-","NEW 4<br/>@BRF 2 F","18.5","18.5","1","90","0","4","1","1","0","3","0","0","0","0","0","1","0","0","0","0","0","1","0"
"*05re5*","M","Carney Chukwuemeka","CHE","M","-","BOU 1<br/>@CHE 2 F","0","0","1","80","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","1","0"
"*03hff*","M","Josh Cullen","BUR","M","-","NOT 2<br/>@BUR 1 F","6","6","1","90","0","0","0","0","0","1","0","0","0","2","0","0","1","1","0","0","0","1","0"
"*03yu2*","M","Abdoulaye Doucoure","EVE","M","-","EVE 1<br/>@ARS 2 F","31","10.33","3","270","0","2","1","0","4","4","1","0","1","1","2","4","0","4","0","0","0","6","2"
"*06c6a*","M","Alfie Doughty","LUT","M","-","FUL 4<br/>@LUT 2 F","70","14","5","412","0","16","1","0","5","0","1","0","5","5","6","3","0","8","0","0","0","9","0"
"*06fso*","M","Wataru Endo","LIV","M","-","WOL 0<br/>@LIV 2 F","17","5.67","3","237","0","3","0","0","3","3","1","0","0","1","2","1","1","3","0","0","0","3","0"
"*068ym*","M","Enzo Fernandez","CHE","M","-","BOU 1<br/>@CHE 2 F","9","9","1","90","0","2","0","0","0","1","0","0","0","1","2","0","0","3","0","0","0","2","0"
"*052h5*","M","Gabriel Martinelli","ARS","M","-","EVE 1<br/>@ARS 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04mdn*","M","Anthony Gordon","NEW","M","-","NEW 4<br/>@BRF 2 F","12.5","12.5","1","67","0","2","1","0","0","1","1","0","1","0","0","2","0","0","0","0","0","1","0"
"*05tr9*","M","Mathias Jensen","BRF","M","-","NEW 4<br/>@BRF 2 F","200","11.11","18","1,305","3","27","3","6","15","10","3","0","11","11","16","10","4","2","0","0","0","26","6"
"*068yd*","M","Joao Gomes","WOL","M","-","WOL 0<br/>@LIV 2 F","8","8","1","83","0","0","0","0","5","3","0","0","0","1","1","1","0","1","0","0","0","2","0"
"*04o82*","M","Curtis Jones","LIV","M","-","WOL 0<br/>@LIV 2 F","6.5","6.5","1","82","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","1"
"*068a1*","M","Mykhailo Mudryk","CHE","M","-","BOU 1<br/>@CHE 2 F","4.5","4.5","1","68","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","1"
"*051k3*","M","Jacob Ramsey","AVL","M","-","AVL 0<br/>@CRY 5 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*067zv*","M","Kevin Schade","BRF","M","-","NEW 4<br/>@BRF 2 F","20","20","1","70","0","2","1","1","1","1","0","0","2","1","1","0","0","5","0","0","0","1","0"
"*04sat*","M","Emile Smith Rowe","ARS","M","-","EVE 1<br/>@ARS 2 F","16","16","1","72","0","1","1","1","0","2","0","0","0","1","0","0","1","2","0","0","0","0","1"
"*06cmm*","M","Dominik Szoboszlai","LIV","M","-","WOL 0<br/>@LIV 2 F","317","12.19","26","1,982","3","49","4","13","18","23","1","0","9","14","13","24","2","13","0","2","0","21","8"
"*0639x*","M","Marcus Tavernier","BOU","M","-","BOU 1<br/>@CHE 2 F","228.5","13.44","17","1,315","3","33","3","9","23","23","2","0","12","4","15","22","3","12","0","0","0","22","4"
"*03rxs*","M","Harry Wilson","FUL","M","-","FUL 4<br/>@LUT 2 F","10","10","1","90","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0"
"*058vb*","F","Cameron Archer","AVL/SHU","F","-","TOT 3<br/>@SHU 0 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rzl*","F","Taiwo Awoniyi","NOT","F","-","NOT 2<br/>@BUR 1 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05gvx*","F","Armando Broja","CHE/FUL","F","-","FUL 4<br/>@LUT 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fup*","F","Jeremy Doku","MCI","F","-","WHU 1<br/>@MCI 3 F","93.5","15.58","6","373","1","11","3","5","3","8","0","0","4","0","0","20","0","1","0","1","0","4","0"
"*05w9q*","F","Odsonne Edouard","CRY","F","-","AVL 0<br/>@CRY 5 F","95.5","13.64","7","604","4","6","0","9","3","10","0","0","0","3","7","6","0","11","0","0","0","4","3"
"*067z4*","F","David Datro Fofana","CHE/BUR","F","-","NOT 2<br/>@BUR 1 F","15.5","15.5","1","87","1","1","0","1","0","2","0","0","0","0","1","1","0","1","0","0","0","1","0"
